T	Cu bulk C	Cu 300 nm
K	J/(mol K)	J/K
2	0.00176	4.65E-10
2	0.00176	4.65E-10
2	0.00176	4.65E-10
2.2	0.00202	5.34E-10
2.3	0.00216	5.71E-10
2.4	0.00231	6.11E-10
2.5	0.00246	6.50E-10
2.5	0.00247	6.53E-10
2.6	0.00262	6.93E-10
2.7	0.00279	7.38E-10
2.8	0.00297	7.85E-10
2.9	0.00315	8.33E-10
3	0.00336	8.88E-10
3	0.00334	8.83E-10
3.1	0.00354	9.36E-10
3.2	0.00375	9.91E-10
3.3	0.00397	1.05E-09
3.4	0.0042	1.11E-09
3.5	0.00446	1.18E-09
3.5	0.00444	1.17E-09
3.6	0.00468	1.24E-09
3.7	0.00494	1.31E-09
3.8	0.00521	1.38E-09
3.9	0.00549	1.45E-09
4	0.00577	1.53E-09
4	0.00581	1.54E-09
4.5	0.00745	1.97E-09
5	0.00941	2.49E-09
5.5	0.01174	3.10E-09
6	0.01446	3.82E-09
6.5	0.01762	4.66E-09
7	0.02125	5.62E-09
7.5	0.0254	6.72E-09
8	0.03012	7.96E-09
8.5	0.03543	9.37E-09
9	0.04139	1.09E-08
9.5	0.04805	1.27E-08
10	0.05546	1.47E-08
10.5	0.06366	1.68E-08
11	0.07272	1.92E-08
11.5	0.0827	2.19E-08
12	0.09364	2.48E-08
12.5	0.10563	2.79E-08
13	0.11872	3.14E-08
13.5	0.13299	3.52E-08
14	0.14851	3.93E-08
14.5	0.16536	4.37E-08
15	0.18361	4.85E-08
15.5	0.20334	5.38E-08
16	0.22463	5.94E-08
16.5	0.24757	6.55E-08
17	0.27224	7.20E-08
17.5	0.29872	7.90E-08
18	0.32708	8.65E-08
18.5	0.35741	9.45E-08
19	0.38977	1.03E-07
19.5	0.42423	1.12E-07
20	0.46086	1.22E-07
20.5	0.49972	1.32E-07
21	0.54085	1.43E-07
21.5	0.58428	1.54E-07
22	0.63007	1.67E-07
22.5	0.67822	1.79E-07
23	0.72876	1.93E-07
23.5	0.78168	2.07E-07
24	0.83699	2.21E-07
24.5	0.89469	2.37E-07
25	0.95474	2.52E-07
25.5	1.01715	2.69E-07
26	1.0819	2.86E-07
26.5	1.14897	3.04E-07
27	1.21836	3.22E-07
27.5	1.2901	3.41E-07
28	1.36423	3.61E-07
28.5	1.44081	3.81E-07
29	1.51995	4.02E-07
29.5	1.60183	4.23E-07
30	1.68668	4.46E-07
40	3.724	9.85E-07
50	6.171	1.63E-06
60	8.636	2.28E-06
70	10.9	2.88E-06
80	12.88	3.41E-06
90	14.58	3.85E-06
100	16.02	4.24E-06
110	17.23	4.56E-06
120	18.25	4.82E-06
130	19.11	5.05E-06
140	19.84	5.25E-06
150	20.46	5.41E-06
160	21.01	5.55E-06
170	21.48	5.68E-06
180	21.89	5.79E-06
190	22.24	5.88E-06
200	22.56	5.96E-06
210	22.84	6.04E-06
220	23.1	6.11E-06
230	23.33	6.17E-06
240	23.53	6.22E-06
250	23.71	6.27E-06
260	23.88	6.31E-06
270	24.04	6.36E-06
280	24.19	6.40E-06
290	24.33	6.43E-06
300	24.45	6.46E-06
