HT NbSi thermometer resistance file for Run 1 on 20200813 on sample T20-5d, HT thermometer
T0 (K)    Rth (ohms)
5.6417    11250.1
5.75591    10908.9
5.87244    10555.2
5.99133    10210.2
6.11262    9857.04
6.23637    9507.67
6.36262    9233.66
6.49143    8952.35
6.62285    8671.49
6.75693    8379.85
6.89372    8092.19
7.03328    7859.98
7.17567    7635.42
7.32094    7480.03
7.46915    7188.93
7.62036    6967.03
7.77463    6734.76
7.93203    6500.34
8.09261    6328.35
8.25644    6150.98
8.42359    5976.87
8.59412    5804.11
8.76811    5610.33
8.94562    5435.02
9.12672    5301.85
9.31149    5147.24
9.5    5000.14
9.69232    4851.53
9.88854    4704.76
10.0887    4572.5
10.293    4446.75
10.5014    4324.65
10.714    4199.89
10.9309    4077.41
11.1521    3964.95
11.3779    3867.86
11.6083    3756.67
11.8433    3652.67
12.083    3554.52
12.3276    3458.81
12.5772    3367.12
12.8318    3276.86
13.0916    3191.87
13.3567    3107.79
13.6271    3030.59
13.9029    2951.56
14.1844    2877.78
14.4716    2807.51
14.7645    2731.71
15.0634    2657.85
15.3684    2599.37
15.6795    2535.43
15.9969    2473.7
16.3208    2417.1
16.6512    2358.33
16.9883    2310.66
17.3322    2256.2
17.6831    2206.74
18.0411    2159.52
18.4063    2120.09
18.779    2064.82
19.1592    2018.49
19.547    1971.51
19.9427    1922.38
20.3465    1880.32
20.7584    1824.46
21.1786    1783.05
21.6074    1745.27
22.0448    1697.51
22.4911    1660.46
22.9465    1626.78
23.411    1594.38
23.8849    1565.24
24.3685    1532.04
24.8618    1499.88
25.3651    1471.76
25.8787    1442.98
26.4026    1414.18
26.9371    1393.68
27.4824    1377.72
28.0388    1335.39
28.6064    1330.49
29.1856    1289.06
29.7764    1273.96
30.3792    1254.62
30.9942    1246.84
31.6217    1223.22
32.2619    1194.47
32.915    1194.32
33.5814    1164.21
34.2612    1160.23
34.9548    1138.24
35.6625    1120.97
36.3845    1099.73
37.1211    1086.29
