Tau file for Run 1 on 20200813 on sample T20-5d, HT thermometer, dT/T0 = 0.02
T0 (K)    Tau (s)
5.6417    0.0154003
5.7559    0.0157725
5.8724    0.0164034
5.9913    0.0165488
6.1127    0.0171238
6.2363    0.0175984
6.3627    0.0179831
6.4915    0.0184244
6.6228    0.0187727
6.7569    0.0191171
6.8937    0.0200919
7.0333    0.02038
7.1757    0.0209733
7.3209    0.0216256
7.4691    0.0219216
7.6204    0.0228446
7.7747    0.023571
7.9321    0.0241849
8.0926    0.0249425
8.2565    0.0258725
8.4236    0.0266081
8.5941    0.0272352
8.7682    0.028275
8.9457    0.0294051
9.1268    0.0801702
9.3115    0.0306647
9.5    0.0321492
9.6924    0.0332779
9.8887    0.0340646
10.089    0.0354402
10.293    0.0365254
10.502    0.0371104
10.714    0.0387697
10.931    0.0404729
11.152    0.041461
11.378    0.0429228
11.608    0.0444028
11.843    0.0463259
12.083    0.0476987
12.328    0.0490346
12.577    0.050161
12.832    0.0528016
13.092    0.0551715
13.357    0.0570593
13.627    0.058852
13.903    0.0609703
14.185    0.062594
14.472    0.0649252
14.765    0.0672383
15.064    0.0696806
15.369    0.0722646
15.68    0.0752723
15.997    0.0782175
16.321    0.0810965
16.651    0.084088
16.989    0.0868403
17.332    0.0905456
17.684    0.0940054
18.041    0.0976466
18.407    0.101197
18.779    0.105216
19.16    0.108972
19.547    0.113159
19.944    0.118029
20.347    0.122599
20.759    0.12719
21.179    0.132259
21.608    0.137289
22.045    0.142398
22.492    0.148287
22.947    0.15436
23.412    0.160369
23.886    0.166566
24.37    0.173237
24.863    0.180232
25.366    0.187707
25.879    0.195513
26.403    0.203135
26.938    0.21078
27.483    0.219451
28.039    0.241165
28.607    0.235794
29.186    0.246032
29.776    0.255789
30.38    0.274203
30.995    0.276515
31.623    0.286735
32.263    0.2748
32.915    0.309554
33.582    0.319909
34.261    0.332543
34.955    0.343952
35.663    0.357542
36.386    0.372399
37.122    0.383346
