Kappa file for Run 0 on 20200814 on sample T20-5d, HT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
30    0   1278.56    0    2.6084e-09
30    4.53764e-07   1260.69    -17.8678    2.6063e-09
30    9.08718e-07   1255.13    -23.4351    2.6093e-09
30    1.36446e-06   1246.06    -32.4985    2.61604e-09
30    1.81915e-06   1247.47    -31.0964    2.61149e-09
30.614    0   1259.52    0    1.59311e-08
30.612    4.69121e-07   1253.16    -6.36036    1.5933e-08
30.6105    9.39596e-07   1248.93    -10.5838    1.59358e-08
30.61    1.40835e-06   1243.78    -15.7374    1.59355e-08
30.6095    1.87851e-06   1240.37    -19.1483    1.59352e-08
31.2335    0   1228.85    0    2.61261e-09
31.232    4.85081e-07   1219.19    -9.65693    2.61055e-09
31.2305    9.70074e-07   1224.24    -4.60525    2.611e-09
31.2295    1.45602e-06   1209.68    -19.1627    2.61494e-09
31.229    1.94241e-06   1208.99    -19.853    2.61044e-09
31.8675    0   1208.81    0    2.61e-09
31.8655    4.99514e-07   1191.33    -17.4835    2.60885e-09
31.8635    9.99822e-07   1208.3    -0.512333    2.60655e-09
31.8625    1.50069e-06   1195.72    -13.0911    2.607e-09
31.8615    2.00033e-06   1195    -13.818    2.60775e-09
32.514    0   1198.79    0    2.61179e-09
32.5115    5.17087e-07   1188.2    -10.5939    2.60815e-09
32.509    1.03509e-06   1184.94    -13.8523    2.61005e-09
32.5075    1.55517e-06   1176.21    -22.5801    2.60965e-09
32.5065    2.07294e-06   1175.55    -23.2457    2.609e-09
33.172    0   1184.66    0    1.59339e-08
33.1695    5.3391e-07   1182.33    -2.32489    1.59306e-08
33.167    1.06904e-06   1177.75    -6.90538    1.59327e-08
33.1655    1.60341e-06   1173.43    -11.2265    1.59306e-08
33.165    2.1405e-06   1170.51    -14.1418    1.59306e-08
33.844    0   1157.19    0    2.61065e-09
33.841    5.54101e-07   1156.03    -1.15576    2.6072e-09
33.8385    1.10878e-06   1147.49    -9.6979    2.61179e-09
33.837    1.66433e-06   1145.06    -12.1209    2.61164e-09
