Kappa file for Run 0 on 20200811 on sample T20-5d, LT thermometer
T0 (K)    Power (W)    Rth (ohms)    dR (ohms)    Ith (A)
2.34935    0   20363.7    0    6.04236e-09
2.3495    1.22808e-09   20167    -196.739    6.04211e-09
2.34965    2.45838e-09   19983.7    -380.078    6.04305e-09
2.3498    3.68753e-09   19864.7    -499.067    6.04087e-09
2.3499    4.91009e-09   19709.2    -654.591    6.04276e-09
2.39655    0   19455.8    0    5.92556e-09
2.3969    1.29147e-09   19261.1    -194.667    5.92816e-09
2.3972    2.58493e-09   19139.1    -316.706    5.92718e-09
2.3974    3.87707e-09   19023.8    -431.988    5.92758e-09
2.3975    5.15302e-09   18804.6    -651.176    5.9295e-09
2.4452    0   18676.4    0    5.79437e-09
2.4455    1.35993e-09   18529.7    -146.727    5.7903e-09
2.4458    2.72085e-09   18362.2    -314.282    5.79391e-09
2.44595    4.08295e-09   18253.9    -422.546    5.79483e-09
2.44605    5.43464e-09   18089.4    -587.096    5.79357e-09
2.49465    0   17919.7    0    5.66721e-09
2.495    1.42285e-09   17755    -164.695    5.66639e-09
2.4953    2.84764e-09   17578.9    -340.876    5.66797e-09
2.49545    4.27211e-09   17441.6    -478.087    5.66732e-09
2.49555    5.68311e-09   17307.1    -612.653    5.66558e-09
2.5452    0   17096.4    0    5.51835e-09
2.54555    1.50174e-09   16936.3    -160.154    5.51694e-09
2.5459    3.00474e-09   16782.5    -313.95    5.51965e-09
2.54605    4.50173e-09   16653.3    -443.162    5.51678e-09
2.54615    6.00481e-09   16519.3    -577.118    5.51675e-09
2.59685    0   16257    0    5.37855e-09
2.59715    1.57585e-09   16099.6    -157.344    5.37821e-09
2.59745    3.15424e-09   15954.5    -302.452    5.37839e-09
2.59765    4.72498e-09   15822.7    -434.31    5.38081e-09
2.59775    6.29456e-09   15667.8    -589.138    5.3781e-09
2.6496    0   15492.9    0    5.24718e-09
2.6499    1.65527e-09   15341.5    -151.425    5.24549e-09
2.6502    3.31279e-09   15205.7    -287.144    5.24661e-09
2.65035    4.95842e-09   15086    -406.845    5.24547e-09
2.65045    6.61244e-09   14952.3    -540.545    5.24296e-09
2.7033    0   14777.9    0    5.11696e-09
2.7036    1.74752e-09   14651.2    -126.755    5.11263e-09
2.7039    3.49693e-09   14531.7    -246.223    5.11274e-09
2.70405    5.23755e-09   14399.2    -378.768    5.11078e-09
2.70415    6.98722e-09   14253    -524.945    5.11739e-09
2.758    0   14071.3    0    4.99448e-09
2.7583    1.83628e-09   13948.4    -122.859    4.99115e-09
2.75865    3.67497e-09   13820    -251.258    4.99381e-09
2.75885    5.50437e-09   13709    -362.31    4.99204e-09
2.75895    7.33298e-09   13599.7    -471.595    4.99038e-09
2.8138    0   13450.1    0    4.8299e-09
2.81415    1.93331e-09   13325.2    -124.928    4.83347e-09
2.8145    3.86803e-09   13187.6    -262.45    4.83289e-09
2.81465    5.78625e-09   13096.5    -353.55    4.82888e-09
2.81475    7.72777e-09   12977.3    -472.832    4.83204e-09
2.8709    0   12844.9    0    4.72213e-09
2.8712    2.02214e-09   12748.7    -96.2263    4.71637e-09
2.8715    4.0455e-09   12615.7    -229.157    4.71813e-09
2.87165    6.05991e-09   12498.8    -346.083    4.72086e-09
2.87175    8.08192e-09   12396.6    -448.256    4.72174e-09
2.9289    0   12253.8    0    4.57557e-09
2.9292    2.12709e-09   12141.6    -112.207    4.57295e-09
2.92955    4.25508e-09   12024.2    -229.54    4.57536e-09
2.92975    6.37308e-09   11929.3    -324.435    4.5746e-09
2.92985    8.50152e-09   11831.9    -421.902    4.57464e-09
2.9881    0   11659.4    0    4.47557e-09
2.98845    2.23946e-09   11564.3    -95.1198    4.47404e-09
2.9888    4.46552e-09   11451.4    -208.043    4.47308e-09
2.989    6.70132e-09   11339.2    -320.263    4.4752e-09
2.9891    8.94123e-09   11234    -425.481    4.47801e-09
3.0487    0   11136.3    0    4.3494e-09
3.049    2.35877e-09   11030.6    -105.658    4.35004e-09
3.0493    4.70846e-09   10926.3    -209.952    4.35035e-09
3.0495    7.07207e-09   10831.8    -304.501    4.35099e-09
3.0496    9.41799e-09   10751.4    -384.825    4.34968e-09
3.11035    0   10623.5    0    4.25705e-09
3.1107    2.47354e-09   10525.3    -98.1365    4.25582e-09
3.111    4.93743e-09   10423.8    -199.699    4.25859e-09
3.1112    7.4128e-09   10345.4    -278.078    4.25823e-09
3.1113    9.89075e-09   10256.1    -367.385    4.2586e-09
3.17325    0   10109.5    0    4.14354e-09
3.1736    2.60002e-09   10021.4    -88.0867    4.14229e-09
3.17395    5.19641e-09   9936.44    -173.021    4.14202e-09
3.17415    7.79882e-09   9848.71    -260.756    4.14535e-09
3.17425    1.04078e-08   9767.49    -341.977    4.14275e-09
3.23755    0   9652.31    0    4.03216e-09
3.2379    2.73011e-09   9570.31    -82.0017    4.03207e-09
3.2382    5.44763e-09   9478.94    -173.368    4.03366e-09
3.2384    8.18214e-09   9389.4    -262.913    4.03335e-09
3.2385    1.09159e-08   9323.31    -329    4.03342e-09
3.3031    0   9226.47    0    3.92931e-09
3.30345    2.87675e-09   9142.4    -84.0696    3.92835e-09
3.3038    5.74083e-09   9063.08    -163.391    3.93014e-09
3.30395    8.61052e-09   8983.1    -243.372    3.93059e-09
3.30405    1.14804e-08   8910.47    -315.995    3.92891e-09
3.36995    0   8792.26    0    3.83423e-09
3.3703    3.01289e-09   8717.37    -74.8865    3.83602e-09
3.3706    6.01166e-09   8644.9    -147.356    3.83478e-09
3.3708    9.02728e-09   8565.4    -226.856    3.83477e-09
3.3709    1.20371e-08   8496.46    -295.799    3.83551e-09
3.43815    0   8400.52    0    3.74328e-09
3.4385    3.17305e-09   8323.7    -76.8194    3.74298e-09
3.43885    6.33959e-09   8254    -146.526    3.74303e-09
3.43905    9.50385e-09   8184.73    -215.788    3.74959e-09
3.43915    1.26845e-08   8115.75    -284.773    3.74742e-09
3.50775    0   8026.55    0    3.65265e-09
3.50815    3.33456e-09   7961.97    -64.5826    3.65391e-09
3.5085    6.66097e-09   7891.07    -135.485    3.65647e-09
3.50865    9.99109e-09   7824.68    -201.872    3.65255e-09
3.50875    1.33284e-08   7759.26    -267.291    3.65594e-09
3.57875    0   7675.78    0    3.54604e-09
3.57915    3.50045e-09   7593.79    -81.997    3.54591e-09
3.5795    6.99053e-09   7526.85    -148.935    3.54321e-09
3.5797    1.04906e-08   7462.55    -213.237    3.54457e-09
3.5798    1.39879e-08   7390.86    -284.928    3.54925e-09
3.65125    0   7334.2    0    3.46309e-09
3.6516    3.67684e-09   7262.21    -71.9899    3.47172e-09
3.65195    7.33424e-09   7205.98    -128.22    3.46461e-09
3.65215    1.10103e-08   7145.29    -188.907    3.46754e-09
3.65225    1.46937e-08   7072.09    -262.109    3.47607e-09
3.72515    0   7027.42    0    3.36975e-09
3.72555    3.86305e-09   6956.27    -71.1431    3.37041e-09
3.7259    7.72136e-09   6899.64    -127.772    3.37076e-09
3.72605    1.15708e-08   6845.55    -181.868    3.36994e-09
3.72615    1.5434e-08   6792.84    -234.574    3.3688e-09
3.80055    0   6699.8    0    3.2992e-09
3.80095    4.05577e-09   6652.61    -47.1957    3.29849e-09
3.8013    8.10432e-09   6586.85    -112.951    3.29923e-09
3.8015    1.21472e-08   6528.1    -171.706    3.30094e-09
3.80165    1.62138e-08   6483.62    -216.179    3.29629e-09
3.87755    0   6420.05    0    3.21041e-09
3.8779    4.28141e-09   6361.69    -58.3598    3.2117e-09
3.87825    8.55573e-09   6316.89    -103.16    3.20973e-09
3.87845    1.2835e-08   6256.08    -163.962    3.21187e-09
3.87855    1.71106e-08   6206.91    -213.134    3.20978e-09
3.95605    0   6138.33    0    3.14436e-09
3.95645    4.48438e-09   6090.29    -48.0376    3.1417e-09
3.9568    8.98756e-09   6033.87    -104.458    3.14346e-09
3.957    1.34818e-08   5991.39    -146.937    3.1395e-09
3.9571    1.79804e-08   5934.18    -204.148    3.14262e-09
4.03615    0   5862.37    0    3.05208e-09
4.03655    4.72637e-09   5805.75    -56.6221    3.05166e-09
4.0369    9.44671e-09   5757.97    -104.397    3.05265e-09
4.0371    1.41869e-08   5710.01    -152.363    3.05424e-09
4.0372    1.89254e-08   5657.24    -205.127    3.05394e-09
4.11785    0   5614.49    0    2.99107e-09
4.11825    4.95745e-09   5555.94    -58.5477    2.99284e-09
4.1186    9.92384e-09   5508.64    -105.849    2.99287e-09
4.1188    1.48947e-08   5463.94    -150.552    2.99208e-09
4.11895    1.98514e-08   5412.65    -201.845    2.99214e-09
4.2012    0   5352.12    0    2.90489e-09
4.20165    5.2195e-09   5301.21    -50.9152    2.90405e-09
4.202    1.04551e-08   5256.77    -95.3562    2.90549e-09
4.2022    1.56793e-08   5209.85    -142.277    2.9076e-09
4.20235    2.09228e-08   5166.57    -185.551    2.90587e-09
4.28645    0   5137.29    0    2.85301e-09
4.2868    5.4624e-09   5082.64    -54.6537    2.85634e-09
4.28715    1.09389e-08   5049.18    -88.1117    2.85557e-09
4.28735    1.64231e-08   5004.53    -132.762    2.85419e-09
4.2874    2.18974e-08   4955.03    -182.259    2.85858e-09
4.3731    0   4916.7    0    2.7795e-09
4.37355    5.7333e-09   4884.69    -32.0065    2.77981e-09
4.3739    1.14891e-08   4840.08    -76.6175    2.77795e-09
4.37405    1.72368e-08   4800.85    -115.848    2.77732e-09
4.37415    2.29814e-08   4753.49    -163.209    2.77934e-09
4.46165    0   4708.41    0    2.72786e-09
4.46205    6.03892e-09   4666.88    -41.5358    2.72726e-09
4.46245    1.21003e-08   4623.28    -85.1384    2.72748e-09
4.46265    1.81588e-08   4592.59    -115.826    2.72603e-09
4.46275    2.42029e-08   4550.76    -157.654    2.73266e-09
4.5519    0   4485.36    0    2.6617e-09
4.55235    6.37614e-09   4449.11    -36.2528    2.65472e-09
4.55275    1.27677e-08   4414.44    -70.9201    2.65231e-09
4.55295    1.91585e-08   4370.34    -115.019    2.65574e-09
4.55305    2.55532e-08   4337.12    -148.241    2.65988e-09
4.64405    0   4297.99    0    2.60841e-09
4.6445    6.69339e-09   4255.81    -42.178    2.60832e-09
4.64495    1.34029e-08   4221.01    -76.9745    2.60767e-09
4.64515    2.01145e-08   4187.2    -110.784    2.6143e-09
4.64525    2.6822e-08   4152.86    -145.123    2.61234e-09
4.73825    0   4123.19    0    2.54637e-09
4.7386    7.04176e-09   4088.25    -34.9431    2.55118e-09
4.73895    1.40958e-08   4051.24    -71.9502    2.55012e-09
4.73915    2.11279e-08   4017.68    -105.515    2.54967e-09
4.73925    2.81926e-08   3986.65    -136.538    2.54918e-09
4.83415    0   3963.59    0    2.54535e-09
4.83455    7.38391e-09   3918.05    -45.5357    2.54599e-09
4.8349    1.47791e-08   3881.18    -82.403    2.5458e-09
4.8351    2.21822e-08   3851.8    -111.79    2.55059e-09
4.83525    2.95976e-08   3818.62    -144.967    2.54956e-09
4.9321    0   3779.44    0    1.55269e-08
4.93245    7.75764e-09   3749.26    -30.1767    1.55166e-08
4.93285    1.55402e-08   3717.27    -62.1663    1.552e-08
4.93305    2.3291e-08   3686.24    -93.1925    1.55193e-08
4.9331    3.10933e-08   3657.73    -121.709    1.5525e-08
5.0319    0   3617.88    0    2.53984e-09
5.03235    8.19588e-09   3583.62    -34.2604    2.54703e-09
5.0327    1.63919e-08   3541.9    -75.9823    2.55088e-09
5.0329    2.46074e-08   3514.36    -103.52    2.55095e-09
5.033    3.28191e-08   3488.03    -129.85    2.54995e-09
5.13385    0   3471.97    0    2.54418e-09
5.13425    8.58772e-09   3443.76    -28.2027    2.5461e-09
5.1346    1.71879e-08   3409.09    -62.8766    2.54773e-09
5.1348    2.57687e-08   3390.52    -81.4429    2.54269e-09
5.1349    3.43876e-08   3363.04    -108.924    2.54371e-09
5.23765    0   3325.18    0    2.55381e-09
5.2381    9.04933e-09   3305.41    -19.7729    2.54421e-09
5.2385    1.81073e-08   3279.42    -45.765    2.54428e-09
5.2387    2.71542e-08   3248.24    -76.9455    2.54597e-09
5.23885    3.62327e-08   3222.14    -103.047    2.55039e-09
