Tau file for Run 0 on 20200811 on sample T20-5d, LT thermometer,  dT/T0 = 0.02
T0 (K)    Tau (s)
2.3499    0.0097605
2.3976    0.00957686
2.4461    0.00978512
2.4956    0.00955922
2.5462    0.00983727
2.5979    0.00933474
2.6505    0.0100184
2.7043    0.0101891
2.7591    0.00962366
2.8148    0.010133
2.8718    0.010187
2.9299    0.0101886
2.9892    0.0102614
3.0496    0.010161
3.1114    0.0100308
3.1744    0.0103724
3.2386    0.0106483
3.3041    0.0105119
3.371    0.0108141
3.4392    0.0106314
3.5089    0.0105861
3.5799    0.0108638
3.6524    0.010933
3.7263    0.0111215
3.8017    0.0112457
3.8786    0.0113371
3.9572    0.0110101
4.0373    0.0116238
4.119    0.0117567
4.2024    0.0120495
4.2875    0.0120074
4.3743    0.0123264
4.4628    0.0123921
4.5532    0.0126384
4.6453    0.0127265
4.7394    0.0130124
4.8353    0.0135389
4.9332    0.0134866
5.0331    0.0136905
5.135    0.0137433
5.2488    0.0143835
