LT NbSi thermometer resistance file for Run 4 on 20200812 on sample T20-5d, LT thermometer
T0 (K)    Rth (ohms)
5.365    3167.4
5.47361    3030.33
5.58442    2903.29
5.69748    2796.22
5.81282    2692.9
5.9305    2584.5
6.05056    2474.95
6.17306    2369.23
6.29803    2279.42
6.42553    2196.7
6.55561    2113.63
6.68833    2034
6.82373    1953.48
6.96188    1876.75
7.10282    1817.4
7.24662    1762.25
7.39332    1698.45
7.543    1643.49
7.6957    1587.48
7.8515    1527.75
8.01045    1480.12
8.17262    1438.42
8.33807    1394.8
8.50688    1355.87
8.6791    1320.59
8.8548    1283.92
9.03407    1251.03
9.21696    1223.29
9.40355    1194.88
9.59392    1167.76
9.78815    1140.11
9.98631    1116.94
10.1885    1093.17
10.3947    1074.51
10.6052    1060.34
10.8199    1040.14
11.0389    1026.1
11.2624    1013.13
11.4904    997.757
11.723    987.277
11.9604    978.643
