T 	 Cp 
K 	 J/K 
2.163 	 5.0802292e-10 
2.2129 	 5.1444472e-10 
2.2577 	 5.5492883e-10 
2.2742 	 5.373367e-10 
2.35 	 5.7931545e-10 
2.3974 	 5.9721962e-10 
2.3976 	 6.0731824e-10 
2.4461 	 6.0165804e-10 
2.5977 	 6.4151347e-10 
2.6503 	 6.8632938e-10 
2.704 	 7.0610816e-10 
2.7788 	 7.3860086e-10 
2.8715 	 7.9186262e-10 
2.9217 	 7.9462159e-10 
2.9297 	 8.1066048e-10 
2.989 	 8.2848838e-10 
3.0495 	 8.748392e-10 
3.0718 	 8.8660462e-10 
3.1113 	 8.5157901e-10 
3.1742 	 9.6647769e-10 
3.2297 	 9.4657229e-10 
3.3956 	 9.8380357e-10 
3.57 	 1.1238089e-09 
3.669 	 1.2108112e-09 
3.7509 	 1.1704256e-09 
3.7535 	 1.1958697e-09 
3.9464 	 1.300715e-09 
4.1492 	 1.4206332e-09 
4.7106 	 1.844955e-09 
4.806 	 1.9312494e-09 
4.9031 	 1.9385706e-09 
5.0025 	 2.0417646e-09 
5.1037 	 2.0700148e-09 
5.207 	 2.2592991e-09 
5.3124 	 2.3529356e-09 
5.4199 	 2.3690133e-09 
5.5298 	 2.5098781e-09 
5.6416 	 2.5869921e-09 
5.7559 	 2.7091823e-09 
5.8724 	 2.8314556e-09 
5.9912 	 2.8741946e-09 
6.1127 	 3.0303267e-09 
6.2363 	 3.1529832e-09 
6.3626 	 3.2980579e-09 
6.4914 	 3.459011e-09 
6.6227 	 3.6242236e-09 
6.757 	 3.767681e-09 
6.8936 	 3.9536861e-09 
7.0333 	 4.1490819e-09 
7.1756 	 4.2967432e-09 
7.3209 	 4.4358838e-09 
7.4692 	 4.7677662e-09 
7.6203 	 4.8919551e-09 
7.7746 	 5.1757769e-09 
7.9319 	 5.3726261e-09 
8.0925 	 5.5364864e-09 
8.2565 	 5.9581201e-09 
8.4234 	 6.2231165e-09 
8.5941 	 6.4785222e-09 
8.7681 	 6.8767742e-09 
8.9457 	 7.0517453e-09 
9.1268 	 7.5825824e-09 
9.3114 	 7.8745949e-09 
9.5 	 8.3168591e-09 
9.6924 	 8.6013317e-09 
9.8885 	 9.0490385e-09 
10.089 	 9.601546e-09 
10.292 	 9.9912434e-09 
10.5 	 1.0459206e-08 
10.713 	 1.0992615e-08 
10.93 	 1.1480876e-08 
11.152 	 1.2141915e-08 
11.376 	 1.274832e-08 
11.607 	 1.3308334e-08 
11.842 	 1.3952887e-08 
12.082 	 1.463526e-08 
12.328 	 1.5516978e-08 
12.575 	 1.6177214e-08 
12.83 	 1.6919187e-08 
13.09 	 1.7726957e-08 
13.356 	 1.8376609e-08 
13.627 	 1.9391699e-08 
13.901 	 2.0365406e-08 
14.184 	 2.1254385e-08 
14.47 	 2.218321e-08 
14.764 	 2.315032e-08 
15.064 	 2.4602086e-08 
15.368 	 2.586891e-08 
15.679 	 2.6712058e-08 
15.996 	 2.7938951e-08 
16.32 	 2.9452294e-08 
16.651 	 3.1008643e-08 
16.987 	 3.1710436e-08 
17.33 	 3.297772e-08 
17.682 	 3.4185983e-08 
18.041 	 3.5893316e-08 
18.406 	 3.8080804e-08 
18.778 	 3.9529337e-08 
19.158 	 4.1248218e-08 
19.546 	 4.2951639e-08 
19.942 	 4.428164e-08 
20.347 	 4.7213964e-08 
20.758 	 4.9147584e-08 
21.178 	 5.1198103e-08 
21.607 	 5.3201426e-08 
22.044 	 5.4257716e-08 
22.491 	 5.8307135e-08 
22.946 	 6.013386e-08 
23.411 	 6.1671915e-08 
23.885 	 6.4954754e-08 
24.368 	 6.6689742e-08 
24.862 	 7.1246801e-08 
25.365 	 7.3570489e-08 
25.879 	 7.5926018e-08 
26.403 	 7.8906959e-08 
26.937 	 8.222022e-08 
27.483 	 8.6808428e-08 
28.039 	 8.9042705e-08 
28.608 	 9.1960851e-08 
29.186 	 9.5875245e-08 
29.778 	 9.935941e-08 
30.379 	 1.0452804e-07 
30.996 	 1.0700847e-07 
31.624 	 1.1045449e-07 
32.264 	 1.1513329e-07 
33.59 	 1.2530638e-07 
34.274 	 1.2808496e-07 
34.967 	 1.3159397e-07 
35.676 	 1.3618252e-07 
36.398 	 1.4066543e-07 
37.131 	 1.48207e-07 
37.887 	 1.546854e-07 
38.648 	 1.5929594e-07 
39.431 	 1.658431e-07 
40.228 	 1.7220848e-07 
41.044 	 1.8358935e-07 
41.875 	 1.8863799e-07 
42.721 	 1.9601043e-07 
43.584 	 2.0418114e-07 
44.466 	 2.1080513e-07 
45.375 	 2.22054e-07 
46.29 	 2.3232358e-07 
47.236 	 2.3940922e-07 
48.177 	 2.4901928e-07 
49.162 	 2.6115026e-07 
50.156 	 2.7596888e-07 
51.178 	 2.8632457e-07 
52.197 	 3.0420191e-07 
53.268 	 3.1352467e-07 
54.338 	 3.3110755e-07 
55.268 	 3.1941592e-07 
55.453 	 3.5438152e-07 
56.398 	 3.586808e-07 
56.554 	 3.7284627e-07 
57.541 	 3.6826343e-07 
57.691 	 3.9483273e-07 
58.702 	 3.7128725e-07 
58.888 	 4.1433623e-07 
59.883 	 3.6537979e-07 
60.07 	 4.3592263e-07 
61.123 	 4.3543229e-07 
61.281 	 4.6302396e-07 
62.352 	 4.613315e-07 
62.533 	 4.816441e-07 
63.604 	 4.8356724e-07 
63.796 	 5.1400643e-07 
64.902 	 5.0191697e-07 
65.092 	 5.3619428e-07 
66.193 	 5.0184825e-07 
66.382 	 5.5106868e-07 
67.548 	 5.2034913e-07 
67.743 	 5.7024906e-07 
68.889 	 5.6503376e-07 
69.123 	 5.88956e-07 
70.317 	 5.7612713e-07 
70.508 	 6.0944847e-07 
71.733 	 6.0030803e-07 
71.928 	 6.2948002e-07 
73.164 	 6.2265149e-07 
73.409 	 6.4279008e-07 
74.678 	 6.3522276e-07 
74.883 	 6.7283639e-07 
76.178 	 6.3283285e-07 
76.409 	 6.8666579e-07 
77.697 	 6.9513975e-07 
77.957 	 7.0736457e-07 
78.718 	 7.076643e-07 
79.289 	 7.0488769e-07 
79.532 	 7.2513975e-07 
80.872 	 7.1062309e-07 
81.115 	 7.521251e-07 
82.547 	 7.6046511e-07 
84.185 	 7.4613831e-07 
85.919 	 7.6839758e-07 
86.033 	 7.9582823e-07 
88.011 	 8.1809695e-07 
89.768 	 8.380248e-07 
91.577 	 8.8898863e-07 
93.437 	 8.9168863e-07 
95.073 	 9.2765648e-07 
97.248 	 9.5616931e-07 
99.205 	 9.7163904e-07 
101.219 	 9.8503893e-07 
103.254 	 1.021354e-06 
105.064 	 1.0697906e-06 
107.195 	 1.122689e-06 
109.334 	 1.1583224e-06 
111.542 	 1.1563094e-06 
113.79 	 1.1955134e-06 
116.135 	 1.2296017e-06 
118.44 	 1.2440034e-06 
120.815 	 1.27355e-06 
123.248 	 1.3119598e-06 
125.72 	 1.3650208e-06 
128.351 	 1.3725045e-06 
130.841 	 1.3715467e-06 
133.468 	 1.4069219e-06 
136.161 	 1.410546e-06 
138.915 	 1.4315729e-06 
141.85 	 1.44092e-06 
144.542 	 1.4985908e-06 
147.468 	 1.5547303e-06 
150.526 	 1.5390645e-06 
153.018 	 1.5359099e-06 
153.548 	 1.5526084e-06 
156.024 	 1.5505886e-06 
156.779 	 1.5692961e-06 
158.975 	 1.5810114e-06 
159.818 	 1.5809296e-06 
162.173 	 1.5953094e-06 
163.008 	 1.6125671e-06 
165.605 	 1.6783621e-06 
166.455 	 1.6701299e-06 
168.943 	 1.7268457e-06 
169.681 	 1.743482e-06 
172.319 	 1.7856398e-06 
173.303 	 1.7746226e-06 
175.735 	 1.7519182e-06 
176.682 	 1.7742643e-06 
179.286 	 1.7596799e-06 
180.107 	 1.7712034e-06 
183.133 	 1.7070734e-06 
183.136 	 1.8060517e-06 
183.845 	 1.7564205e-06 
186.711 	 1.796203e-06 
187.779 	 1.7604046e-06 
190.461 	 1.7845772e-06 
194.266 	 1.95261e-06 
195.285 	 1.9617721e-06 
198.472 	 1.8864182e-06 
199.177 	 1.9838839e-06 
202.494 	 1.9506844e-06 
203.094 	 1.9159941e-06 
206.599 	 1.9345536e-06 
206.707 	 2.0144887e-06 
207.221 	 1.9276348e-06 
210.399 	 2.0424299e-06 
210.491 	 1.8369563e-06 
211.768 	 1.9571374e-06 
215.119 	 2.04275e-06 
215.989 	 1.9849371e-06 
219.575 	 2.00697e-06 
219.78 	 2.0736284e-06 
220.501 	 1.9965895e-06 
223.703 	 2.008359e-06 
224.558 	 2.0525971e-06 
227.979 	 2.08603e-06 
229.376 	 2.0739617e-06 
232.877 	 2.086841e-06 
234.043 	 2.0977429e-06 
237.246 	 2.0284854e-06 
237.659 	 2.1184346e-06 
242.791 	 2.1785276e-06 
247.56 	 2.0916805e-06 
252.569 	 2.2122955e-06 
257.692 	 2.1497014e-06 
262.939 	 2.2854924e-06 
268.44 	 2.334797e-06 
284.814 	 2.532549e-06 
290.69 	 2.6004805e-06 
